,Unnamed: 0,news_outlet,provenance,title,language,article_length,number_subheaders,forbidden_pattern,sentiment_score,author_person,author_organization
12,12,achgut,https://www.achgut.com/artikel/die_generalstaatsanwaeltin_wirft_ein_stoeckchen_die_medien_apportieren_brav,Staatsanwältin wirft Stöckchen – Medien apportieren brav,de,721,2,False,-0.2990395426750183,Wolfgang Meins,
13,13,achgut,https://www.achgut.com/artikel/posttraumatische_belastungsstoerungen_opfer_patienten_oder_weicheier,"Traumatisierung: Opfer, Patienten, Weicheier?",de,1475,4,False,-0.622005820274353,Wolfgang Meins,
14,14,achgut,https://www.achgut.com/artikel/helfer_sind_tabu_die_gemanagte_missachtung,„Helfer sind tabu”? Die gemanagte Missachtung,de,1325,3,False,-0.0716726630926132,Susanne Baumstark,
15,15,achgut,https://www.achgut.com/artikel/es_tut_mir_leid_dass_ich_ihr_bild_zerstoeren_muss_weissermann,"Es tut mir leid, dass ich Ihr Bild zerstören muss, weißer Mann",de,921,0,False,-0.5430869460105896,Gerd Buurmann,
16,16,achgut,https://www.achgut.com/artikel/angela_merkel_luegen_so_durchsichtig_wie_frischhaltefolie,"Angela Merkel: Lügen, so durchsichtig wie Frischhaltefolie",de,1267,4,False,-0.0901196300983429,Julian Reichelt,
17,17,anti_spiegel,https://www.anti-spiegel.ru/2019/venezuela-putschversuch-gescheitert-nur-us-militaer-kann-guaido-noch-an-die-macht-bringen/,Venezuela: Putschversuch wohl gescheitert - Nur US-Militär kann Guaido noch an die Macht bringen,de,1345,0,False,-0.844693660736084,,Anti-Spiegel
18,18,anti_spiegel,https://www.anti-spiegel.ru/2020/brown-university-us-kriege-haben-seit-2001-bis-zu-59-mio-menschen-zu-fluechtlingen-gemacht/,Brown University: US-Kriege haben seit 2001 bis zu 59 Mio. Menschen zu Flüchtlingen gemacht,de,1117,6,False,-0.916644811630249,,Anti-Spiegel
19,19,anti_spiegel,https://www.anti-spiegel.ru/2020/tschetschene-enthauptet-franzoesischen-lehrer-wie-in-russland-ueber-den-mord-berichtet-wird/,Tschetschene enthauptet französischen Lehrer - Wie in Russland über den Mord berichtet wird,de,1322,0,False,-0.0238390080630779,,Anti-Spiegel
20,20,anti_spiegel,https://www.anti-spiegel.ru/2019/ueberschrift-eines-kommentars-in-russland-greta-thunberg-hat-weissen-maennern-den-krieg-erklaert/,"Überschrift eines Kommentars in Russland: ""Greta Thunberg hat weißen Männern den Krieg erklärt""",de,1314,0,False,-0.0121963433921337,,Anti-Spiegel
21,21,anti_spiegel,https://www.anti-spiegel.ru/2019/praesidentschaftswahlen-in-der-ukraine-schlammschlacht-und-schmutzige-tricks-in-kiew/,Präsidentschaftswahlen in der Ukraine: Schlammschlacht und schmutzige Tricks in Kiew,de,1060,0,False,-0.9151798486709596,,Anti-Spiegel
22,22,anti_spiegel,https://www.anti-spiegel.ru/2019/wie-geht-es-weiter-in-der-syrischen-provinz-idlib/,Wie geht es weiter in der syrischen Provinz Idlib?,de,694,0,False,-0.735849142074585,,Anti-Spiegel
23,23,anti_spiegel,https://www.anti-spiegel.ru/2019/das-russische-fernsehen-ueber-den-tiergarten-mord-und-die-folgen/,Das russische Fernsehen über den Tiergarten-Mord und die Folgen,de,1333,0,False,-0.0142190903425216,,Anti-Spiegel
24,24,anti_spiegel,https://www.anti-spiegel.ru/2019/macht-der-lobbyisten-wie-bertelsmann-das-fachkraefte-einwanderungsgesetz-geschaffen-hat/,Macht der Lobbyisten: Wie Bertelsmann das Fachkräfte-Einwanderungsgesetz geschaffen hat,de,1101,0,False,-0.166172906756401,,Anti-Spiegel
25,25,anti_spiegel,https://www.anti-spiegel.ru/2019/fluechtlinge-ueber-die-lage-in-der-tuerkei-in-griechenland-und-auf-dem-balkan/,"Flüchtlinge - Über die Lage in der Türkei, in Griechenland und auf dem Balkan",de,803,0,False,-0.1956499814987182,,Anti-Spiegel
26,26,anti_spiegel,https://www.anti-spiegel.ru/2019/die-sicht-der-anderen-wie-das-russische-fernsehen-ueber-den-iran-konflikt-berichtet/,Die Sicht der Anderen: Wie das russische Fernsehen über den Iran-Konflikt berichtet,de,1055,0,False,-0.7630467414855957,,Anti-Spiegel
27,27,anti_spiegel,https://www.anti-spiegel.ru/2019/das-russische-fernsehen-ueber-das-problem-der-rueckkehr-europaeischer-dschihadisten-aus-syrien/,Das russische Fernsehen über das Problem der Rückkehr europäischer Dschihadisten aus Syrien,de,1175,0,False,-0.0817779749631881,,Anti-Spiegel
28,28,anti_spiegel,https://www.anti-spiegel.ru/2020/wie-mit-gez-geldern-polizeigewalt-gegen-demonstranten-propagiert-wird/,Wie mit GEZ-Geldern Polizeigewalt gegen Demonstranten propagiert wird,de,1023,3,False,-0.1603416800498962,,Anti-Spiegel
29,29,anti_spiegel,https://www.anti-spiegel.ru/2020/eugh-urteil-ablehnung-fluechtlinge-aufzunehmen-war-unrechtmaessig-folgen-hat-das-keine/,"EuGH-Urteil: Ablehnung, Flüchtlinge aufzunehmen, war unrechtmäßig - Folgen hat das keine",de,957,0,False,-0.9320883750915528,,Anti-Spiegel
30,30,anti_spiegel,https://www.anti-spiegel.ru/2020/fluechtlingsdebatte-wenn-gruene-vollpfosteninnen-eine-koalition-der-willigen-fordern/,"Flüchtlingsdebatte: Wenn grüne Vollpfosten*Innen eine ""Koalition der Willigen"" fordern",de,1257,2,False,-0.8934099674224854,,Anti-Spiegel
31,31,anti_spiegel,https://www.anti-spiegel.ru/2019/syrien-lehnt-westliche-hilfe-ab-und-fordert-entschaedigung-fuer-schaeden-durch-nato-bomben/,Syrien lehnt westliche Hilfe ab und fordert Entschädigung für Schäden durch Nato-Bomben,de,723,0,False,-0.8227995038032532,,Anti-Spiegel
32,32,anti_spiegel,https://www.anti-spiegel.ru/2019/merkels-fluechtlingsdeal-mit-der-tuerkei-vor-dem-aus-hat-die-neue-fluechtlingswelle-schon-begonnen/,Merkels Flüchtlingsdeal mit der Türkei vor dem Aus - Hat die neue Flüchtlingswelle schon begonnen?,de,969,0,False,-0.0681395679712295,,Anti-Spiegel
33,33,anti_spiegel,https://www.anti-spiegel.ru/2020/das-russische-aussenministerium-ueber-die-lage-in-syrien-und-das-aktuelle-video-der-weisshelme/,Das russische Außenministerium über die Lage in Syrien und das aktuelle Video der Weißhelme,de,1163,0,False,-0.0077792508527636,,Anti-Spiegel
34,34,anti_spiegel,https://www.anti-spiegel.ru/2019/kommentar-der-osten-hat-gewaehlt-warum-die-afd-die-linke-als-ostdeutsche-volkspartei-ersetzt/,"Kommentar: Der Osten hat gewählt - Warum die AfD Die Linke als ""ostdeutsche Volkspartei"" ersetzt",de,1077,0,False,-0.9172910451889038,,Anti-Spiegel
35,35,anti_spiegel,https://www.anti-spiegel.ru/2019/putin-meint-der-liberalismus-habe-sich-ueberlebt-das-russische-fernsehen-ueber-die-reaktionen-im-westen/,"Putin meint, der Liberalismus habe sich ""überlebt"" - Das russische Fernsehen über die Reaktionen im Westen",de,1311,0,False,-0.0382820628583431,,Anti-Spiegel
36,36,anti_spiegel,https://www.anti-spiegel.ru/2019/deutsche-truppen-nach-syrien-was-medien-und-politik-verschweigen/?doing_wp_cron=1608579761.4678900241851806640625,Deutsche Truppen nach Syrien? Was Medien und Politik verschweigen,de,1385,0,False,-0.812110960483551,,Anti-Spiegel
37,37,anti_spiegel,https://www.anti-spiegel.ru/2020/wie-das-russische-fernsehen-ueber-die-lage-an-der-griechisch-tuerkischen-grenze-berichtet/,Wie das russische Fernsehen über die Lage an der griechisch-türkischen Grenze berichtet,de,1248,0,False,-0.0500582307577133,,Anti-Spiegel
38,38,anti_spiegel,https://www.anti-spiegel.ru/2020/der-jahrhundertdeal-trumps-geschenk-an-israel/,"Der ""Jahrhundertdeal"" - Trumps Geschenk an Israel",de,1469,0,False,-0.0229037068784236,,Anti-Spiegel
39,39,anti_spiegel,https://www.anti-spiegel.ru/2020/tuerkei-schiesst-syrische-kampfflugzeuge-ab-und-laesst-ueber-76-000-fluechtlinge-nach-griechenland/,Türkei schießt syrische Kampfflugzeuge ab und lässt über 76.000 Flüchtlinge nach Griechenland,de,343,0,False,-0.0273526031523942,,Anti-Spiegel
40,40,anti_spiegel,https://www.anti-spiegel.ru/2020/politischer-amoklauf-erdogan-gegen-den-rest-der-welt/,Politischer Amoklauf: Erdogan gegen den Rest der Welt,de,616,0,False,-0.8211146593093872,,Anti-Spiegel
41,41,anti_spiegel,https://www.anti-spiegel.ru/2020/fluechtlingsdeal-mit-der-tuerkei-wie-der-spiegel-vertragsbrueche-der-eu-verschleiern-will/,Flüchtlingsdeal mit der Türkei - Wie der Spiegel Vertragsbrüche der EU verschleiern will,de,721,0,False,-0.0674445256590843,,Anti-Spiegel
42,42,anti_spiegel,https://www.anti-spiegel.ru/2019/situation-von-fluechtlingen-in-libyen-jedes-schulkind-koennte-die-ursachen-besser-erklaeren-als-der-spiegel/,"Situation von Flüchtlingen in Libyen: Jedes Schulkind könnte die Ursachen besser erklären, als der Spiegel",de,1100,0,False,-0.0125147104263305,,Anti-Spiegel
43,43,anti_spiegel,https://www.anti-spiegel.ru/2020/bill-gates-spendet-dem-spiegel-23-mio-euro-wie-unabhaengig-kann-der-spiegel-sein/,"Bill Gates spendet dem Spiegel 2,3 Mio. Euro - Wie unabhängig kann der Spiegel sein?",de,1284,0,False,-0.0242398828268051,,Anti-Spiegel
44,44,anti_spiegel,https://www.anti-spiegel.ru/2020/kommentar-zumskandal-in-thueringen-was-ist-eigentlich-wirklich-wichtig-in-deutschland/,"Kommentar zum""Skandal"" in Thüringen: Was ist eigentlich wirklich wichtig in Deutschland?",de,1182,0,False,-0.947633683681488,,Anti-Spiegel
45,45,anti_spiegel,https://www.anti-spiegel.ru/2019/leserfrage-deutsche-familie-erhaelt-politisches-asyl-in-russland-wie-berichten-die-medien-darueber/,"Leserfrage: Deutsche Familie erhält politisches Asyl in Russland, wie berichten die Medien darüber?",de,533,0,False,-0.0129522206261754,,Anti-Spiegel
46,46,anti_spiegel,https://www.anti-spiegel.ru/2019/putin-im-o-ton-zu-der-frage-warum-russland-sich-stark-in-syrien-engagiert/,"Putin im O-Ton zu der Frage, warum Russland sich stark in Syrien engagiert",de,1075,0,False,-0.9242691397666932,,Anti-Spiegel
47,47,anti_spiegel,https://www.anti-spiegel.ru/2019/situation-in-griechenland-die-rueckkehr-der-fluechtlingskrise/,Situation in Griechenland: Die Rückkehr der Flüchtlingskrise,de,928,0,False,-0.8760542869567871,,Anti-Spiegel
48,48,anti_spiegel,https://www.anti-spiegel.ru/2020/vor-dem-gesetz-sind-nicht-alle-gleich-wie-israel-gesetze-in-den-usa-verabschiedet/,Vor dem Gesetz sind nicht alle gleich: Wie Israel Gesetze in den USA verabschiedet,de,883,0,False,-0.5619550347328186,,Anti-Spiegel
49,49,anti_spiegel,https://www.anti-spiegel.ru/2019/der-spiegel-ueber-studie-zu-migranten-aus-afrika-afrikas-beste-kommen-was-der-spiegel-verschweigt/,"Der Spiegel über Studie zu Migranten aus Afrika: ""Afrikas Beste kommen"" - Was der Spiegel verschweigt",de,1331,0,False,-0.0256971381604671,,Anti-Spiegel
50,50,anti_spiegel,https://www.anti-spiegel.ru/2019/das-russische-aussenministerium-ueber-die-lage-in-syrien-2/,Das russische Außenministerium über die Lage in Syrien,de,930,0,False,-0.0260828528553247,,Anti-Spiegel
51,51,anti_spiegel,https://www.anti-spiegel.ru/2020/libyen-die-chronologie-und-die-aktuelle-situation/,Libyen: Die Chronologie und die aktuelle Situation,de,1167,0,False,-0.0095299845561385,,Anti-Spiegel
52,52,anti_spiegel,https://www.anti-spiegel.ru/2019/das-russische-aussenministerium-ueber-die-lage-in-syrien/,Das russische Außenministerium über die Lage in Syrien,de,909,0,False,-0.0765399262309074,,Anti-Spiegel
53,53,anti_spiegel,https://www.anti-spiegel.ru/2019/ukrainisches-gesetz-bestaetigt-dass-kiew-gegen-das-minsker-abkommen-verstoesst/,"Ukrainisches Gesetz bestätigt, dass Kiew gegen das Minsker Abkommen verstößt",de,220,0,False,-0.0065668025054037,,Anti-Spiegel
54,54,anti_spiegel,https://www.anti-spiegel.ru/2019/lobbyismus-wie-bertelsmann-seine-macht-einsetzt-um-eigene-interessen-zu-foerdern/,"Lobbyismus: Wie Bertelsmann seine Macht einsetzt, um eigene Interessen zu fördern",de,1240,0,False,-0.0215796381235122,,Anti-Spiegel
55,55,anti_spiegel,https://www.anti-spiegel.ru/2019/putin-im-o-ton-westlicher-liberalismus-und-migrationskrise-haengen-zusammen/,Putin im O-Ton: Westlicher Liberalismus und Migrationskrise hängen zusammen,de,661,0,False,-0.0676810070872306,,Anti-Spiegel
56,56,anti_spiegel,https://www.anti-spiegel.ru/2019/die-russische-sicht-auf-den-streit-zwischen-ungarn-und-der-eu/,Wie das russische Fernsehen über den Streit zwischen Ungarn und der EU berichtet,de,1314,0,False,-0.0138708911836147,,Anti-Spiegel
57,57,anti_spiegel,https://www.anti-spiegel.ru/2020/aktueller-artikel-ueber-die-lage-in-syrien-zeigt-die-doppelmoral-des-spiegel/,Aktueller Artikel über die Lage in Syrien zeigt die Doppelmoral des Spiegel,de,700,0,False,-0.9004409313201904,,Anti-Spiegel
58,58,anti_spiegel,https://www.anti-spiegel.ru/2020/der-spiegel-meldet-erfolge-bei-der-integration-von-fluechtlingen-was-sagen-die-zahlen-wirklich/,Der Spiegel meldet Erfolge bei der Integration von Flüchtlingen - Was sagen die Zahlen wirklich?,de,828,0,False,-0.0329879447817802,,Anti-Spiegel
59,59,anti_spiegel,https://www.anti-spiegel.ru/2020/eskalation-in-syrien-gefahr-eines-militaerischen-konfliktes-zwischen-der-tuerkei-und-syrien/,Eskalation in Syrien: Gefahr eines militärischen Konfliktes zwischen der Türkei und Syrien,de,760,0,False,-0.559863805770874,,Anti-Spiegel
60,60,anti_spiegel,https://www.anti-spiegel.ru/2019/kriminalstatistik-2018-kriminalitaet-leicht-gesunken-auslaenderkriminalitaet-bei-305-mehr-gewalt-und-drogendelikte/?doing_wp_cron=1608583456.0067529678344726562500,"Kriminalstatistik 2018: Kriminalität leicht gesunken, Ausländerkriminalität bei 30,5%, mehr Gewalt- und Drogendelikte",de,1133,0,False,-0.0199112929403781,,Anti-Spiegel
61,61,anti_spiegel,https://www.anti-spiegel.ru/2019/sie-bleiben-auf-freiem-fuss-erste-mutmassliche-is-kaempfer-aus-der-tuerkei-in-deutschland-angekommen/,Sie bleiben auf freiem Fuß: Erste mutmaßliche IS-Kämpfer aus der Türkei in Deutschland angekommen,de,826,0,False,-0.3182123601436615,,Anti-Spiegel
62,62,anti_spiegel,https://www.anti-spiegel.ru/2019/bundestagsabgeordnete-in-damaskus-das-russische-aussenministerium-ueber-die-lage-in-syrien/,Bundestagsabgeordnete in Damaskus - Das russische Außenministerium über die Lage in Syrien,de,923,0,False,-0.4080668687820434,,Anti-Spiegel
63,63,anti_spiegel,https://www.anti-spiegel.ru/2019/wie-das-russische-fernsehen-ueber-den-fall-strache-berichtet/,"Wie das russische Fernsehen über den ""Fall Strache"" berichtet",de,1407,0,False,-0.0739903450012207,,Anti-Spiegel
64,64,anti_spiegel,https://www.anti-spiegel.ru/2019/die-legende-von-der-rechten-gefahr-wie-sich-die-medien-in-den-letzten-jahren-veraendert-haben/,"Die Legende von der ""rechten Gefahr"": Wie sich die Medien in den letzten Jahren verändert haben",de,1314,0,False,-0.0230062138289213,,Anti-Spiegel
65,65,anti_spiegel,https://www.anti-spiegel.ru/2019/neuer-fluechtlingsstrom-eu-bricht-deal-mit-tuerkei-die-medien-verschweigen-die-entscheidenden-details/,"Neuer Flüchtlingsstrom? EU bricht Deal mit Türkei, die Medien verschweigen die entscheidenden Details",de,1386,0,False,-0.7276627421379089,,Anti-Spiegel
66,66,anti_spiegel,https://www.anti-spiegel.ru/2020/buergerkriegsaehnliche-zustaende-wer-hat-die-innenstadt-von-stuttgart-verwuestet/,"""Bürgerkriegsähnliche Zustände"" - Wer hat die Innenstadt von Stuttgart verwüstet?",de,1278,0,False,-0.908022165298462,,Anti-Spiegel
67,67,anti_spiegel,https://www.anti-spiegel.ru/2020/reaktion-auf-krawalle-in-frankfurt-gruene-jugend-fordert-oeffentliche-raeume-fuer-junge-randalierer/,"Reaktion auf Krawalle in Frankfurt: Grüne Jugend fordert ""öffentliche Räume"" für junge Randalierer",de,676,1,False,-0.0509823858737945,,Anti-Spiegel
68,68,anti_spiegel,https://www.anti-spiegel.ru/2020/recherche-zu-hintergruenden-der-unruhen-in-den-usa-ich-brauche-die-hilfe-der-schwarmintelligenz-meiner-leser/,Recherche zu Hintergründen der Unruhen in den USA: Ich brauche die Hilfe der Schwarmintelligenz meiner Leser,de,1477,4,False,-0.8563219904899597,,Anti-Spiegel
69,69,anti_spiegel,https://www.anti-spiegel.ru/2020/kiew-gibt-den-einsatz-von-auslaendischen-soeldnern-im-donbass-zu/,Kiew gibt den Einsatz von ausländischen Söldnern im Donbass zu,de,914,1,False,-0.0101175708696246,,Anti-Spiegel
70,70,anti_spiegel,https://www.anti-spiegel.ru/2020/kommentar-wir-schaffen-das-und-die-partyszene-ist-randale-der-neue-alltag-in-deutschland/,"Kommentar: ""Wir schaffen das"" und die ""Partyszene"": Ist Randale der neue Alltag in Deutschland?",de,1038,0,False,-0.0290527530014514,,Anti-Spiegel
71,71,anti_spiegel,https://www.anti-spiegel.ru/2020/kommentar-zur-randale-der-partyszene-in-stuttgart-man-darf-das-problem-nicht-verschweigen/,"Kommentar zur Randale der ""Partyszene"" in Stuttgart: Man darf das Problem nicht verschweigen",de,964,0,False,-0.7788992524147034,,Anti-Spiegel
72,72,anti_spiegel,https://www.anti-spiegel.ru/2020/fluechtlingskrise-die-entwicklungen-der-letzten-woche/,Flüchtlingskrise: Die Entwicklungen der letzten Woche,de,556,0,False,-0.0783283114433288,,Anti-Spiegel
73,73,anti_spiegel,https://www.anti-spiegel.ru/2020/deutsche-eu-ratspraesidentschaft-merkels-probleme/,Deutsche EU-Ratspräsidentschaft: Merkels Probleme,de,1103,1,False,-0.0249039679765701,,Anti-Spiegel
74,74,anti_spiegel,https://www.anti-spiegel.ru/2019/lobbyismus-wie-die-bertelsmannstiftung-gesetze-macht/,Lobbyismus: Wie die Bertelsmannstiftung Gesetze macht,de,266,0,False,-0.0173580069094896,,Anti-Spiegel
75,75,anti_spiegel,https://www.anti-spiegel.ru/2020/wie-in-russland-ueber-die-veraenderungen-des-tourismus-nach-corona-berichtet-wird/?doing_wp_cron=1608585902.1302530765533447265625,Wie in Russland über die Veränderungen des Tourismus nach Corona berichtet wird,de,1207,1,False,-0.0235537849366664,,Anti-Spiegel
76,76,anti_spiegel,https://www.anti-spiegel.ru/2020/wer-hilft-den-menschen-in-syiren-eine-gegenueberstellung-der-russischen-und-der-westlichen-argumente/,Wer hilft den Menschen in Syiren? Eine Gegenüberstellung der russischen und der westlichen Argumente,de,873,0,False,-0.0499470047652721,,Anti-Spiegel
77,77,anti_spiegel,https://www.anti-spiegel.ru/2020/berichterstattung-ueber-syrien-resolution-zeigt-zdf-bedeutet-zynisches-deutsches-fernsehen/,"Berichterstattung über Syrien-Resolution zeigt: ZDF bedeutet ""Zynisches Deutsches Fernsehen""",de,1476,3,False,-0.5644770264625549,,Anti-Spiegel
78,78,anti_spiegel,https://www.anti-spiegel.ru/2020/russland-und-china-legen-veto-gegen-uno-resolution-zu-syrien-ein-was-der-spiegel-alles-verschweigt/,Russland und China legen Veto gegen UNO-Resolution zu Syrien ein: Was der Spiegel alles verschweigt,de,1207,4,False,-0.6713066101074219,,Anti-Spiegel
79,79,anti_spiegel,https://www.anti-spiegel.ru/2020/mangel-an-saisonarbeitern-gefaehrdet-die-ernten-in-der-eu-wie-das-russische-fernsehen-darueber-berichtet/,Mangel an Saisonarbeitern gefährdet die Ernten in der EU - Wie das russische Fernsehen darüber berichtet,de,773,0,False,-0.1038144826889038,,Anti-Spiegel
80,80,anti_spiegel,https://www.anti-spiegel.ru/2020/fortsetzung-von-defender-2020-gelten-eu-einreisebeschraenkungen-fuer-us-buerger-nicht-fuer-us-soldaten/,Fortsetzung von Defender 2020: Gelten EU-Einreisebeschränkungen für US-Bürger nicht für US-Soldaten?,de,388,0,False,-0.0171175859868526,,Anti-Spiegel
81,81,anti_spiegel,https://www.anti-spiegel.ru/2019/neue-fluechtlingswelle-kroatien-holt-1-800-polizisten-zur-grenzsicherung-aus-dem-ruhestand/,Neue Flüchtlingswelle? Kroatien holt 1.800 Polizisten zur Grenzsicherung aus dem Ruhestand,de,563,0,False,-0.1651528924703598,,Anti-Spiegel
82,82,anti_spiegel,https://www.anti-spiegel.ru/2019/seehofer-warnt-vor-neuer-fluechtlingskrise-die-schlimmer-werden-koennte-als-2015/,"Seehofer warnt vor neuer Flüchtlingskrise, die schlimmer werden könnte, als 2015",de,1393,0,False,-0.7192532420158386,,Anti-Spiegel
83,83,anti_spiegel,https://www.anti-spiegel.ru/2019/was-bedeuten-die-deutschen-ergebnisse-der-europawahl/,Was bedeuten die deutschen Ergebnisse der Europawahl?,de,1332,0,False,-0.9506489038467408,,Anti-Spiegel
84,84,anti_spiegel,https://www.anti-spiegel.ru/2019/eu-vs-tuerkei-wie-erdgas-und-fluechtlinge-zusammenhaengen/?doing_wp_cron=1608576836.2980690002441406250000,EU vs. Türkei: Wie Erdgas und Flüchtlinge zusammenhängen,de,631,0,False,-0.1129618734121322,,Anti-Spiegel
85,85,anti_spiegel,https://www.anti-spiegel.ru/2019/tuerkei-will-fluechtlinge-wieder-passieren-lassen-steht-merkels-fluechtlingsdeal-vor-dem-aus/,Türkei will Flüchtlinge wieder passieren lassen - Steht Merkels Flüchtlingsdeal vor dem Aus?,de,1079,0,False,-0.0159710366278886,,Anti-Spiegel
86,86,anti_spiegel,https://www.anti-spiegel.ru/2020/das-russische-fernsehen-ueber-die-lage-in-den-usa-trump-aergert-sich-ueber-seine-eigenen-worte/,"Das russische Fernsehen über die Lage in den USA: ""Trump ärgert sich über seine eigenen Worte""",de,1222,0,False,-0.0234756600111722,,Anti-Spiegel
87,87,anti_spiegel,https://www.anti-spiegel.ru/2019/russische-nachrichtenagentur-usa-planen-eroberung-von-oelquellen-in-syrien/,Russische Nachrichtenagentur: USA planen Eroberung von Ölquellen in Syrien,de,729,0,False,-0.0121290665119886,,Anti-Spiegel
88,88,anti_spiegel,https://www.anti-spiegel.ru/2020/fluechtlinge-am-deutschen-wesen-soll-die-eu-genesen/,Flüchtlinge: Am deutschen Wesen soll die EU genesen!,de,1476,4,False,-0.0419931933283805,,Anti-Spiegel
89,89,anti_spiegel,https://www.anti-spiegel.ru/2019/der-durchbruch-die-einigung-von-putin-und-erdogan-ueber-syrien-im-wortlaut/?doing_wp_cron=1608589144.5081689357757568359375,Der Durchbruch? Die Einigung von Putin und Erdogan über Syrien im Wortlaut,de,1440,0,False,-0.2327059954404831,,Anti-Spiegel
90,90,anti_spiegel,https://www.anti-spiegel.ru/2019/das-russische-fernsehen-ueber-kriminelle-politiker/,Das russische Fernsehen über kriminelle Politiker,de,1436,0,False,-0.0350052751600742,,Anti-Spiegel
91,91,anti_spiegel,https://www.anti-spiegel.ru/2020/krieg-um-bergkarabach-das-russische-fernsehen-interviewt-beide-staatschefs/,Krieg um Bergkarabach: Das russische Fernsehen interviewt beide Staatschefs,de,1194,0,False,-0.0254888795316219,,Anti-Spiegel
92,92,bild,https://www.bild.de/politik/inland/politik-inland/deutschland-hat-rund-10-000-fluechtlinge-aus-tuerkei-aufgenommen-71756172.bild.html,Deutschland hat rund 10 000 Flüchtlinge aus Türkei aufgenommen,de,296,0,False,-0.0002576845581643,,Bild.de
93,93,bild,https://www.bild.de/politik/ausland/politik-ausland/moria-kanzlerin-angelamerkel-will-mehr-fluechtlinge-aufnehmen-72898546.bild.html,Moria – Kanzlerin Angela Merkel will mehr Flüchtlinge aufnehmen!,de,509,1,False,-0.0402783378958702,Liana SPYROPOULOU und Paul RONZHEIMER,
94,94,bild,https://www.bild.de/politik/ausland/politik-ausland/lesbos-fluechtlinge-und-wuetende-buerger-einig-niemand-will-ein-zweites-moria-72874064.bild.html,Lesbos: Flüchtlinge und wütende Bürger einig – niemand will ein zweites Moria,de,1065,2,False,-0.026044838130474,Til BIermann (z. Zt. auf Lesbos),
95,95,bild,https://www.bild.de/politik/inland/politik-inland/moria-seehofer-kuendigt-an-deutschland-nimmt-100-bis-150-kinder-auf-72852368.bild.html,Moria – Seehofer kündigt an: Deutschland nimmt 100 bis 150 Kinder auf,de,525,2,False,-0.0256960745900869,,Bild.de
96,96,bild,https://www.bild.de/politik/ausland/politik/neues-lager-auf-lesbos-errichtet-kinder-weinen-politiker-streiten-72879082.bild.html,"Neues Lager auf Lesbos errichtet: Kinder weinen, Politiker streiten",de,860,1,False,-0.0313449725508689,"Til Biermann und Liana Spyropoulou, zzt. Lesbos",
97,97,bild,https://www.bild.de/politik/kolumnen/kolumne/kommentar-zur-lage-in-moria-die-kinder-von-moria-brauchen-unsere-hilfe-72843314.bild.html,Kommentar zur Lage in Moria - Die Kinder von Moria brauchen unsere Hilfe,de,226,0,False,-0.9185712337493896,Julian Reichelt,
